,Tool_ID,Position,Condition,TCond,Machined_length,Init_diameter,Final_diameter,R_measurement,ap,vc,f,Fx,Fy,Fz,F,Exp
417,0.07164658540910875,-0.09953019534628776,-0.009078684375202319,-0.026001230597578643,-0.00784052418158386,0.0040561953714855865,-0.005423204746198576,0.00011233340489581856,0.01616796100957096,0.0,-0.13953904990278593,-0.0003679537792277828,-0.022386373446631233,-0.05491510077067678,-0.006690757457630566,0.0
209,0.10367029793157537,-0.191134742385787,0.0035753692557594792,0.04795491396657421,0.0072119450327563644,0.09407355324650302,0.010723848109473962,0.004744472548355032,0.00557854363457628,0.0,0.2656296733305293,0.08655509498848545,0.010260964543307839,-0.01319203202075135,-0.0030574741670678644,0.0
778,-0.08419323630940799,-0.008077553601989597,0.0063072220528715695,-0.007801289909570731,-0.0012619770773848727,0.011475070443816307,-0.000815224620132572,0.004558865759508725,-0.03556866904541222,0.0,-0.03879079564475966,-0.003410760677170131,0.0023754056144281066,0.01322464716254618,-0.002451888872555799,0.0
78,-0.05430979200268998,-0.021022986261184255,-0.0018274344380705921,-0.008002528622215512,-0.0047439434588635795,-0.02976097910839333,0.0008839692449511408,0.007449578120714724,0.006309647548840445,0.0,-0.10853896822315201,-0.009700233896095789,-0.016081877037241715,-0.034313598089139676,0.006115616695971789,0.0
478,-0.04883745563344096,0.0008155755549917416,-0.010470832936701717,0.0021481990490009885,-0.0003937716120416998,0.010511577392548066,0.01333498906421391,-0.0125195050824597,0.020827316865861638,0.0,-0.03742117642413696,0.002326690630339632,0.006184607510463253,0.02106710419368722,-0.0037091818685325117,0.0
49,-0.07716537778963385,-0.10915746684605147,0.005549201797286747,0.029330923890547263,0.0038907293760254862,0.07291678568409748,0.01382806366882293,0.0026425368207331893,-0.0009623838175651903,0.0,0.2727052078967965,0.051546184376161854,0.018355222642540834,-0.006098875837806991,-0.007075519541316911,0.0
96,-0.11040062743429843,-0.057459541375508315,0.0014400993331619412,0.0036572269335332225,-0.0006392262196154645,-0.022667283250508423,-0.011483382685700018,0.0001660263119877502,0.010858338152484527,0.0,0.14277170501790418,-0.009785300992004793,-0.005873827669898482,-0.0032202130445651627,-0.012836324884005258,0.0
743,-0.10992012620051496,0.010446960769447162,0.008545724780727999,-0.018741625942405464,-0.011782258071051165,-0.0131719883982281,-0.006857499961527526,-0.00011095883419241215,-0.029123183720071267,0.0,-0.039616405652550236,-0.012602000649191192,-0.0023303012233861055,-0.013634853018117453,0.0029440622280921596,0.0
231,0.08453334222627816,0.02511557325589198,0.003819931816935401,0.005981968097055637,-0.0036509039989466984,-0.01988819097329279,-0.008866109588570375,-0.0008319235013299952,0.0017232387594991589,0.0,-0.15937915193444768,-0.010528081653612572,-0.0052523159463405324,-0.04798250434396041,-0.004898230939662919,0.0
196,0.10169189787639739,-0.04512893477353726,0.003592853850646129,0.002112855168302937,0.011309804804975156,0.04550805876535467,0.005379183046280687,0.003980985978868799,-0.0062589568735252265,0.0,-0.1848305380490883,-0.005610759033045292,-0.006272095125577065,-0.01597999139814421,-0.00422571251516916,0.0
204,0.10518803571364196,-0.19005606797074534,-0.00139002946806649,0.04677314642221684,0.007267919053098671,0.08813425485902535,0.0019477486088822318,-0.010603819617514419,0.0032943826033532287,0.0,0.25498103409661615,0.08538582854088483,0.007455774046355014,-0.017318356925667692,-0.002719344600401696,0.0
