Commands,delta_X,delta_Y,delta_Z,delta_xy,delta_S,F_val,S,D_W,Toolchange,TurnOp,Material,Workpiece,Filename,ENERGY|x,ENERGY|y,ENERGY|z,ENERGY|S,ENERGY|T,time_s
G0,0.0,0.0,0.0,0.0,0.0,0.02549047429435375,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.537074758,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.0283374428217376,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,7.116963621999999,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.032743011432114076,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.311451096000001,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.025181881689758556,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,6.244926184,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03487131277476534,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,5.0971710240000005,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03229285609508574,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,4.893588762,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03734709222931321,0.0037002083333333327,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,3.5398468180000005,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.037695530747077106,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,3.8380066799999994,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.0367885419411004,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,3.323440466,0.024
G0,0.0,0.0,0.0,0.0,0.0,0.03371967708949728,0.005289666666666666,16.0,0,0,Aluminum,Enerman_Alu,JOB2021-03-15T17_14_33.333.0.json,0.0,0.0,0.0,0.0,2.741547842,0.024
