number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
83,0.18976214539794545,2026-06-27 21:14:03.663082,2026-06-27 21:14:03.851082,0 days 00:00:00.188000,0.5808313416470721,0.004854724427982589,5,1,100,0.005398969889579807,2.136584769976115e-07,0.7422606466428863,COMPLETE
84,0.05307916052579359,2026-06-27 21:14:03.857088,2026-06-27 21:14:05.273151,0 days 00:00:01.416063,0.5627709866088602,0.0037795394932634806,5,1,950,0.002451427661216942,4.729122423137572e-08,0.703176683327704,COMPLETE
85,0.06602734615670222,2026-06-27 21:14:05.279163,2026-06-27 21:14:06.518999,0 days 00:00:01.239836,0.6211252721702045,0.002557823173505186,5,1,850,0.0012931867483185154,5.415371199847293e-07,0.7941626346305334,COMPLETE
86,0.06241122101432968,2026-06-27 21:14:06.525002,2026-06-27 21:14:07.601123,0 days 00:00:01.076121,0.6535376864674832,0.0055797320041192375,5,7,800,0.011617248674066136,1.2080649874908294e-07,0.7330724213409694,COMPLETE
87,0.0774956514026166,2026-06-27 21:14:07.607188,2026-06-27 21:14:08.862961,0 days 00:00:01.255773,0.5570390879997758,0.003411615684208175,5,1,900,0.4253547347062263,3.320038450304778e-06,0.7532652907648073,COMPLETE
88,0.05581996554658988,2026-06-27 21:14:08.868970,2026-06-27 21:14:10.292487,0 days 00:00:01.423517,0.5264109945093857,0.004295659798878698,6,1,950,0.09757264484052974,4.586178903050294e-07,0.7031066533046073,COMPLETE
89,0.052630415646862536,2026-06-27 21:14:10.298996,2026-06-27 21:14:11.502001,0 days 00:00:01.203005,0.6294508562928918,0.009066595638381145,5,2,850,0.006210755955333366,2.460920649841981e-06,0.7611504677212466,COMPLETE
90,0.05501249348309467,2026-06-27 21:14:11.507004,2026-06-27 21:14:12.496820,0 days 00:00:00.989816,0.6144188420003305,0.005294814172711924,4,1,800,0.046949542267233524,8.676704451837977e-08,0.7951058714272505,COMPLETE
91,0.05104409243602043,2026-06-27 21:14:12.504830,2026-06-27 21:14:13.731008,0 days 00:00:01.226178,0.564491638407197,0.005989401305353335,5,1,900,0.009768089529509968,2.74493227287424e-07,0.7243018118386736,COMPLETE
92,0.05109287068907592,2026-06-27 21:14:13.737012,2026-06-27 21:14:15.112862,0 days 00:00:01.375850,0.5822569154772985,0.006123094215627895,5,1,900,0.01436553766717217,1.4402931010808067e-08,0.7190671468108815,COMPLETE
93,0.05125494947650291,2026-06-27 21:14:15.118428,2026-06-27 21:14:16.720680,0 days 00:00:01.602252,0.5407282955153818,0.0061194183499762855,5,1,950,0.003279488857845097,2.3185714054335858e-08,0.6875632258492527,COMPLETE
94,0.051294030508753086,2026-06-27 21:14:16.727690,2026-06-27 21:14:18.686593,0 days 00:00:01.958903,0.5341792685910443,0.006080100339707765,5,1,950,0.0031414226025095813,1.0387605977322854e-08,0.6800343268147524,COMPLETE
95,0.05186967989361587,2026-06-27 21:14:18.690601,2026-06-27 21:14:20.144964,0 days 00:00:01.454363,0.5373218579058496,0.0062807709287162885,4,1,1000,0.003077514311701498,1.243825074664396e-08,0.6714390936841896,COMPLETE
96,0.057559170801453265,2026-06-27 21:14:20.149014,2026-06-27 21:14:21.755526,0 days 00:00:01.606512,0.5217295597515962,0.003086199403734146,5,1,950,0.0007931208213018858,3.365960969508382e-08,0.6429346575398858,COMPLETE
97,0.051260711447350414,2026-06-27 21:14:21.763832,2026-06-27 21:14:23.514880,0 days 00:00:01.751048,0.6024820946483208,0.006417369058185091,5,1,950,0.002124530202797889,2.5230708235064602e-08,0.7183735020512699,COMPLETE
98,0.051956139258853874,2026-06-27 21:14:23.520388,2026-06-27 21:14:25.014499,0 days 00:00:01.494111,0.603080915356549,0.006386926258581429,4,1,950,0.0017152690288707822,1.7815871699961214e-08,0.6883391899860254,COMPLETE
99,0.053052017332693935,2026-06-27 21:14:25.019009,2026-06-27 21:14:26.884826,0 days 00:00:01.865817,0.5492214926405389,0.0038903975183737136,5,1,1000,0.003433460082904888,3.0975674945575054e-08,0.6179407141543005,COMPLETE
