number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
70,7.279472133457613e-06,2026-06-27 21:10:04.406431,2026-06-27 21:10:04.829088,0 days 00:00:00.422657,0.38567487242197274,235,5,600,8.850296045519507,0.29400417556873676,COMPLETE
71,7.166007579304533e-06,2026-06-27 21:10:04.836172,2026-06-27 21:10:05.428867,0 days 00:00:00.592695,0.2653909236511295,199,4,450,6.9119636279869185,0.07660875510336786,COMPLETE
72,7.101592263464014e-06,2026-06-27 21:10:05.442303,2026-06-27 21:10:06.029080,0 days 00:00:00.586777,0.27498830371341004,197,4,450,9.777854234641175,0.09377458398028111,COMPLETE
73,7.203296863743874e-06,2026-06-27 21:10:06.035038,2026-06-27 21:10:06.829023,0 days 00:00:00.793985,0.3139617294525818,214,5,400,9.531567774225056,0.08941945091685768,COMPLETE
74,7.451091564941651e-06,2026-06-27 21:10:06.834340,2026-06-27 21:10:07.529120,0 days 00:00:00.694780,0.2524049360454653,185,4,450,6.234911936299997,0.0734983580970815,COMPLETE
75,7.406023457110117e-06,2026-06-27 21:10:07.535594,2026-06-27 21:10:08.640443,0 days 00:00:01.104849,0.29439830929692745,227,5,500,3.826025994000342,0.033985512918572144,COMPLETE
76,8.092709781739549e-06,2026-06-27 21:10:08.651363,2026-06-27 21:10:09.149243,0 days 00:00:00.497880,0.3690277099488865,51,6,550,3.438138278395437,0.1055687135406005,COMPLETE
77,7.20545604164601e-06,2026-06-27 21:10:09.159109,2026-06-27 21:10:09.939108,0 days 00:00:00.779999,0.2661525340383415,200,4,450,6.941560444187882,0.04474406481043888,COMPLETE
78,7.413271186046644e-06,2026-06-27 21:10:09.946581,2026-06-27 21:10:10.538831,0 days 00:00:00.592250,0.332251351966774,208,4,300,2.57507595308479,0.05508582243257214,COMPLETE
79,7.203553218004753e-06,2026-06-27 21:10:10.549071,2026-06-27 21:10:11.139080,0 days 00:00:00.590009,0.40802351735619713,238,4,400,4.300607887728197,0.07874685057863928,COMPLETE
80,7.00091688040603e-06,2026-06-27 21:10:11.150883,2026-06-27 21:10:11.919144,0 days 00:00:00.768261,0.19045080151073956,177,5,450,6.955149675631074,0.09905093505810433,COMPLETE
81,7.216238531547749e-06,2026-06-27 21:10:11.928126,2026-06-27 21:10:12.619274,0 days 00:00:00.691148,0.18672012231110252,180,5,450,7.256940617136076,0.10342257310760938,COMPLETE
82,7.028077772943047e-06,2026-06-27 21:10:12.624873,2026-06-27 21:10:13.269220,0 days 00:00:00.644347,0.22573664128588286,175,5,350,4.913285635069335,0.1445686396646075,COMPLETE
83,7.5724094414179095e-06,2026-06-27 21:10:13.274854,2026-06-27 21:10:13.854874,0 days 00:00:00.580020,0.23011149565646474,194,6,350,2.663833129004478,0.15368845725423153,COMPLETE
84,7.650647512950903e-06,2026-06-27 21:10:13.858992,2026-06-27 21:10:14.690057,0 days 00:00:00.831065,0.3589604435659764,189,5,350,4.757301906463401,0.04236958309804078,COMPLETE
85,7.321555556120162e-06,2026-06-27 21:10:14.697287,2026-06-27 21:10:15.729122,0 days 00:00:01.031835,0.27165823808733486,214,6,500,8.666432610732578,0.09176742478938099,COMPLETE
86,7.0708199732675045e-06,2026-06-27 21:10:15.736409,2026-06-27 21:10:16.706297,0 days 00:00:00.969888,0.31041014174870774,160,5,550,5.215950122264747,0.07288169946948587,COMPLETE
87,7.411393480521265e-06,2026-06-27 21:10:16.728986,2026-06-27 21:10:17.364203,0 days 00:00:00.635217,0.29570756718544566,160,5,250,5.593245243009908,0.05749603949415993,COMPLETE
88,7.471361473975155e-06,2026-06-27 21:10:17.367789,2026-06-27 21:10:18.096780,0 days 00:00:00.728991,0.3201990445734969,185,5,550,2.815504080887871,0.06813025476400882,COMPLETE
89,7.776137423066458e-06,2026-06-27 21:10:18.100789,2026-06-27 21:10:18.641512,0 days 00:00:00.540723,0.238762526163314,176,6,400,2.0973697080855014,0.13139453467304818,COMPLETE
90,7.113889315414231e-06,2026-06-27 21:10:18.650804,2026-06-27 21:10:19.418916,0 days 00:00:00.768112,0.2112373384882837,148,5,450,7.5330947272850795,0.07758806727454946,COMPLETE
91,7.232715852634334e-06,2026-06-27 21:10:19.424748,2026-06-27 21:10:20.179006,0 days 00:00:00.754258,0.22259141304654834,140,5,450,6.979359127225879,0.0752032326047357,COMPLETE
92,7.037070827971176e-06,2026-06-27 21:10:20.188967,2026-06-27 21:10:20.821628,0 days 00:00:00.632661,0.3405803654365356,147,5,300,4.647122655270138,0.11090003692635127,COMPLETE
93,7.106210051372862e-06,2026-06-27 21:10:20.826962,2026-06-27 21:10:21.399075,0 days 00:00:00.572113,0.18451530876352462,154,5,250,4.734169590626907,0.10964660056454169,COMPLETE
94,7.92068810058079e-06,2026-06-27 21:10:21.408764,2026-06-27 21:10:21.798781,0 days 00:00:00.390017,0.34575387137805363,146,5,100,4.230883713153692,0.09860210249862547,COMPLETE
95,7.067828436394247e-06,2026-06-27 21:10:21.802187,2026-06-27 21:10:22.403089,0 days 00:00:00.600902,0.18724827201675895,133,5,250,9.954689621777298,0.11570113376244455,COMPLETE
96,7.106002658362712e-06,2026-06-27 21:10:22.407540,2026-06-27 21:10:23.138892,0 days 00:00:00.731352,0.1813549942321847,132,6,350,5.324838333742663,0.1140915358595963,COMPLETE
97,7.537211272978192e-06,2026-06-27 21:10:23.147040,2026-06-27 21:10:23.933611,0 days 00:00:00.786571,0.1993688052251213,131,7,250,5.250297615835754,0.11365569452424892,COMPLETE
98,7.458711956859326e-06,2026-06-27 21:10:23.938973,2026-06-27 21:10:24.488993,0 days 00:00:00.550020,0.17794907973891166,111,6,300,9.993289241783156,0.15815889106290187,COMPLETE
99,7.152307861153854e-06,2026-06-27 21:10:24.498887,2026-06-27 21:10:25.262071,0 days 00:00:00.763184,0.21222368922170942,147,7,200,8.08351953993928,0.13371994217597757,COMPLETE
100,13.231064315697324,2026-06-27 21:33:41.458396,2026-06-27 21:33:41.994016,0 days 00:00:00.535620,0.15470212967410038,136,6,250,1.9498587653387234,0.002308428410775439,COMPLETE
101,9.284726503665715,2026-06-27 21:33:42.009848,2026-06-27 21:33:42.333338,0 days 00:00:00.323490,0.2942433852540483,123,5,350,3.436792635329309,0.11322681461507461,COMPLETE
102,9.16851162222698,2026-06-27 21:33:42.343625,2026-06-27 21:33:42.701886,0 days 00:00:00.358261,0.2404136210057113,154,5,350,5.9946503504560384,0.14324725911671912,COMPLETE
103,9.431330218509135,2026-06-27 21:33:42.709348,2026-06-27 21:33:42.960415,0 days 00:00:00.251067,0.3066080237584809,160,5,200,4.496077669893911,0.09981029124223594,COMPLETE
104,9.320440838300325,2026-06-27 21:33:42.965419,2026-06-27 21:33:43.231927,0 days 00:00:00.266508,0.27567533253695653,150,5,300,3.3145696303476773,0.12392990524157388,COMPLETE
105,9.54036752138396,2026-06-27 21:33:43.243032,2026-06-27 21:33:43.624489,0 days 00:00:00.381457,0.14151048955922665,103,6,300,1.5550245648150907,0.08208109274284067,COMPLETE
106,9.416390635019978,2026-06-27 21:33:43.636748,2026-06-27 21:33:44.013750,0 days 00:00:00.377002,0.33928139809056856,140,5,400,7.627405527782815,0.2026379221424187,COMPLETE
107,9.120523271250132,2026-06-27 21:33:44.018860,2026-06-27 21:33:44.507716,0 days 00:00:00.488856,0.20120166881511933,161,5,500,5.811132446708557,0.06810878264503292,COMPLETE
108,10.094368745855485,2026-06-27 21:33:44.515883,2026-06-27 21:33:44.818911,0 days 00:00:00.303028,0.17929741069139066,131,6,550,2.4047396582060667,0.17459234485056477,COMPLETE
109,9.290394703040095,2026-06-27 21:33:44.834612,2026-06-27 21:33:45.115750,0 days 00:00:00.281138,0.2470689023027895,172,5,250,3.8279970626795943,0.09563156686844965,COMPLETE
110,9.374455121864141,2026-06-27 21:33:45.119016,2026-06-27 21:33:45.470557,0 days 00:00:00.351541,0.36840376233000866,168,5,400,4.623889141159921,0.1461252939200013,COMPLETE
111,10.134141359194528,2026-06-27 21:33:45.488395,2026-06-27 21:33:45.861474,0 days 00:00:00.373079,0.20890796435235104,121,5,300,9.599934384840662,0.06294032399222833,COMPLETE
112,9.661651490339903,2026-06-27 21:33:45.879195,2026-06-27 21:33:46.096177,0 days 00:00:00.216982,0.2547059790488161,150,5,150,6.2844306602351825,0.11046822889430832,COMPLETE
113,9.787932027344537,2026-06-27 21:33:46.099642,2026-06-27 21:33:46.486026,0 days 00:00:00.386384,0.2843360203648572,156,5,350,7.778837876122305,0.05428837187018704,COMPLETE
114,9.618304590190238,2026-06-27 21:33:46.500131,2026-06-27 21:33:46.975152,0 days 00:00:00.475021,0.4137270639252703,141,8,250,4.997474456531325,0.0825226598923076,COMPLETE
115,9.350080585422495,2026-06-27 21:33:46.983848,2026-06-27 21:33:47.570903,0 days 00:00:00.587055,0.16140012489800046,150,5,600,9.971876463135109,0.07118068349274137,COMPLETE
116,9.538733819084966,2026-06-27 21:33:47.590000,2026-06-27 21:33:47.932849,0 days 00:00:00.342849,0.316625662410438,135,5,500,3.2916078387274954,0.16590137438342387,COMPLETE
117,9.595209314030681,2026-06-27 21:33:47.939925,2026-06-27 21:33:48.315787,0 days 00:00:00.375862,0.14057617297823521,117,7,200,7.792047302534218,0.25838866691758705,COMPLETE
118,9.299211703438406,2026-06-27 21:33:48.322969,2026-06-27 21:33:48.824502,0 days 00:00:00.501533,0.22022909057672954,169,5,550,6.296048594179136,0.12420190338072373,COMPLETE
