number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state
85,0.0528156457632329,2026-06-27 21:14:39.796765,2026-06-27 21:14:40.118196,0 days 00:00:00.321431,0.9657008198529559,149,6,200,0.014921116849315465,0.1692519523845236,COMPLETE
86,0.05339702865242489,2026-06-27 21:14:40.118196,2026-06-27 21:14:40.386743,0 days 00:00:00.268547,0.8578386740384779,194,6,250,0.018422099266383243,0.21259736174258634,COMPLETE
87,0.05233183913664212,2026-06-27 21:14:40.397182,2026-06-27 21:14:40.696830,0 days 00:00:00.299648,0.005083285065990317,167,7,300,0.07229864924388564,0.24678365622799123,COMPLETE
88,0.053107923118841806,2026-06-27 21:14:40.706568,2026-06-27 21:14:41.046773,0 days 00:00:00.340205,0.9280314734217832,154,7,350,0.03844369860803409,0.13942149573364263,COMPLETE
89,0.0530979579795009,2026-06-27 21:14:41.046773,2026-06-27 21:14:41.386515,0 days 00:00:00.339742,0.8799598297677915,110,7,200,0.11896874181940753,0.19299986165908517,COMPLETE
90,0.05526811538340136,2026-06-27 21:14:41.396655,2026-06-27 21:14:41.766550,0 days 00:00:00.369895,0.9031026446667071,137,8,250,0.22499453794342314,0.25942448394380413,COMPLETE
91,0.052022213999487296,2026-06-27 21:14:41.766550,2026-06-27 21:14:42.046592,0 days 00:00:00.280042,0.9744864032267574,178,7,250,0.028108755353707087,0.21513419112509508,COMPLETE
92,0.05264154060149142,2026-06-27 21:14:42.053921,2026-06-27 21:14:42.476382,0 days 00:00:00.422461,0.9845606087306864,165,7,300,0.023873808702821325,0.15430187873740658,COMPLETE
93,0.05055896303470999,2026-06-27 21:14:42.481231,2026-06-27 21:14:42.766444,0 days 00:00:00.285213,0.9548047801374007,185,7,150,0.013753315009367748,0.22343937891587973,COMPLETE
94,0.05218564114350519,2026-06-27 21:14:42.766444,2026-06-27 21:14:43.040232,0 days 00:00:00.273788,0.9478979047705864,185,7,150,0.008905442226691337,0.27804297112311377,COMPLETE
95,0.05229164320091521,2026-06-27 21:14:43.046355,2026-06-27 21:14:43.305614,0 days 00:00:00.259259,0.7991780731052806,175,6,100,0.012731122550080076,0.17177643593136935,COMPLETE
96,0.05306536619117223,2026-06-27 21:14:43.306618,2026-06-27 21:14:43.666743,0 days 00:00:00.360125,0.9385396654917456,190,7,400,0.006798171070384717,0.12726268752155906,COMPLETE
97,0.05166475505964387,2026-06-27 21:14:43.676411,2026-06-27 21:14:44.056366,0 days 00:00:00.379955,0.957638039542309,197,7,150,0.02155345097702517,0.10449101479883106,COMPLETE
98,0.05298172738284017,2026-06-27 21:14:44.056366,2026-06-27 21:14:44.352225,0 days 00:00:00.295859,0.9245428651500243,156,6,200,0.01622876496039838,0.2162516041356834,COMPLETE
99,0.05236176054728403,2026-06-27 21:14:44.356723,2026-06-27 21:14:44.656657,0 days 00:00:00.299934,0.877361546092613,121,7,300,0.056648072842279386,0.19029119796989735,COMPLETE
